Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,daily_return,cum_return,middle_band,upper_band,lower_band,Conversion,Baseline,SpanA,SpanB,Lagging
2017-03-13,1.9600000381469729,2.009999990463257,1.9600000381469729,1.9600000381469729,35700,0,0,,,,,,,,,,1.7899999618530271
2017-03-14,2.0,2.0,1.870000004768372,1.940000057220459,26800,0,0,-0.010204071702683337,0.9897959282973167,,,,,,,,1.7899999618530271
2017-03-15,1.909999966621399,1.9600000381469729,1.870000004768372,1.919999957084656,12300,0,0,-0.010309329662834266,0.9795917957735686,,,,,,,,1.7699999809265137
2017-03-16,1.899999976158142,1.950000047683716,1.870000004768372,1.899999976158142,12900,0,0,-0.010416656965389737,0.9693877240708852,,,,,,,,1.75
2017-03-17,1.840000033378601,1.9299999475479128,1.7999999523162842,1.909999966621399,49500,0,0,0.005263152941442195,0.9744897599222269,,,,,,,,1.7300000190734863
2017-03-20,1.9299999475479128,2.0,1.909999966621399,1.950000047683716,18200,0,0,0.020942451183951327,0.9948979641486585,,,,,,,,1.7300000190734863
2017-03-21,1.950000047683716,2.009999990463257,1.950000047683716,1.950000047683716,11700,0,0,0.0,0.9948979641486585,,,,,,,,1.7100000381469729
2017-03-22,1.9600000381469729,1.9900000095367432,1.950000047683716,1.9800000190734863,20500,0,0,0.015384600336500132,1.0102040717026832,,,,,,,,1.75
2017-03-23,1.950000047683716,2.009999990463257,1.950000047683716,1.9900000095367432,27000,0,0,0.005050500185316276,1.0153061075540248,,,,1.9049999713897705,,,,1.649999976158142
2017-03-24,2.009999990463257,2.009999990463257,1.9900000095367432,2.0,15300,0,0,0.005025120811725348,1.0204081434053665,,,,1.9049999713897705,,,,1.600000023841858
2017-03-27,2.0,2.009999990463257,1.659999966621399,1.7400000095367432,102500,0,0,-0.12999999523162842,0.887755089628354,,,,1.8349999785423279,,,,1.590000033378601
2017-03-28,1.850000023841858,2.150000095367432,1.850000023841858,2.059999942779541,99000,0,0,0.18390800660282447,1.0510203585134164,,,,1.9050000309944155,,,,1.5099999904632568
2017-03-29,2.0799999237060547,2.299999952316284,2.039999961853028,2.2799999713897705,145500,0,0,0.10679613335978311,1.1632652688850622,,,,1.9799999594688416,,,,1.4900000095367432
2017-03-30,2.299999952316284,2.299999952316284,1.899999976158142,2.049999952316284,62400,0,0,-0.10087720261386235,1.0459183226620747,,,,1.9799999594688416,,,,1.5
2017-03-31,1.8600000143051147,2.180000066757202,1.7300000190734863,1.950000047683716,71600,0,0,-0.04878044241882973,0.9948979641486584,,,,1.9799999594688416,,,,1.440000057220459
2017-04-03,2.0,2.119999885559082,1.899999976158142,1.919999957084656,22300,0,0,-0.01538466146946782,0.9795917957735686,,,,1.9799999594688416,,,,1.409999966621399
2017-04-04,1.899999976158142,2.049999952316284,1.8200000524520876,1.830000042915344,38700,0,0,-0.04687495634425354,0.9336734731114936,,,,1.9799999594688416,,,,1.5
2017-04-05,1.850000023841858,1.8799999952316284,1.7300000190734863,1.7899999618530271,98300,0,0,-0.021857967281024404,0.9132652688850622,,,,1.9799999594688416,,,,1.559999942779541
2017-04-06,1.8799999952316284,1.8799999952316284,1.7300000190734863,1.7699999809265137,15300,0,0,-0.011173173940076109,0.903061197182379,,,,1.9799999594688416,,,,1.4900000095367432
2017-04-07,1.7400000095367432,1.870000004768372,1.7400000095367432,1.75,32300,0,0,-0.011299424374029976,0.8928571254796958,,,,2.0149999856948853,,,,1.4500000476837158
2017-04-10,1.7699999809265137,1.870000004768372,1.7699999809265137,1.840000033378601,26000,0,0,0.051428590502057725,0.9387755089628353,,,,2.0149999856948853,,,,1.340000033378601
2017-04-11,1.899999976158142,1.899999976158142,1.830000042915344,1.840000033378601,20000,0,0,0.0,0.9387755089628353,,,,2.0149999856948853,,,,1.2999999523162842
2017-04-12,1.8600000143051147,1.940000057220459,1.7999999523162842,1.899999976158142,14100,0,0,0.03260866396255957,0.9693877240708852,,,,1.9550000429153442,,,,1.2999999523162842
2017-04-13,2.0,2.0,1.7799999713897705,1.830000042915344,18100,0,0,-0.03684207059009548,0.9336734731114937,,,,1.9249999523162842,,,,1.2699999809265137
2017-04-17,1.7999999523162842,1.840000033378601,1.7999999523162842,1.7999999523162842,14200,0,0,-0.01639349174618987,0.918367304736404,,,,1.8899999856948853,,,,1.2799999713897705
2017-04-18,1.7999999523162842,1.8200000524520876,1.7699999809265137,1.7699999809265137,8100,0,0,-0.016666651213610217,0.9030611971823791,,,,1.8650000095367432,1.9799999594688416,,,1.25
2017-04-19,1.75,1.7999999523162842,1.75,1.7899999618530271,12600,0,0,0.011299424374029865,0.9132652688850622,,,,1.8650000095367432,1.9799999594688416,,,1.2000000476837158
2017-04-20,1.8899999856948853,1.8899999856948853,1.7899999618530271,1.7899999618530271,18500,0,0,0.0,0.9132652688850622,,,,1.8700000047683716,1.9799999594688416,,,1.2300000190734863
2017-04-21,1.8200000524520876,1.850000023841858,1.75,1.7699999809265137,31400,0,0,-0.011173173940076109,0.903061197182379,,,,1.875,1.9799999594688416,,,1.2000000476837158
2017-04-24,1.7899999618530271,1.840000033378601,1.7400000095367432,1.75,42800,0,0,-0.011299424374029976,0.8928571254796958,1.890666663646698,2.124450598515671,1.6568827287777248,1.8700000047683716,1.9799999594688416,,,1.149999976158142
2017-04-25,1.600000023841858,1.899999976158142,1.5099999904632568,1.7300000190734863,257600,0,0,-0.011428560529436416,0.8826530537770124,1.8829999963442485,2.122173721755729,1.643826270932768,1.7549999952316284,1.9049999713897705,,,1.0700000524520874
2017-04-26,1.7999999523162842,1.7999999523162842,1.649999976158142,1.7300000190734863,41400,0,0,0.0,0.8826530537770124,1.8759999950726827,2.120294722771248,1.6317052673741175,1.7549999952316284,1.9049999713897705,,,1.0399999618530271
2017-04-27,1.7999999523162842,1.7999999523162842,1.659999966621399,1.7100000381469729,43600,0,0,-0.011560682489023644,0.8724489820743293,1.86899999777476,2.119756928281846,1.6182430672676744,1.7049999833106995,1.9049999713897705,,,1.0199999809265137
2017-04-28,1.7799999713897705,1.7899999618530271,1.649999976158142,1.75,1262300,0,0,0.02339179003549785,0.8928571254796959,1.8639999985694886,2.1180241646580527,1.6099758324809244,1.7049999833106995,1.9049999713897705,,,1.0
