Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,daily_return,cum_return,middle_band,upper_band,lower_band,Conversion,Baseline,SpanA,SpanB,Lagging
2017-03-13,56.18000030517578,56.5,55.59999847412109,56.459999084472656,527300,0,0,,,,,,,,,,59.43999862670898
2017-03-14,56.290000915527344,56.290000915527344,55.2599983215332,56.060001373291016,372900,0,0,-0.007084621283524717,0.9929153787164753,,,,,,,,59.4900016784668
2017-03-15,56.34000015258789,56.38999938964844,55.77999877929688,56.310001373291016,450100,0,0,0.004459507561109577,0.9973432923554034,,,,,,,,59.27999877929688
2017-03-16,56.540000915527344,56.709999084472656,56.0099983215332,56.59000015258789,362500,0,0,0.004972452006184458,1.0023025340103306,,,,,,,,60.02000045776367
2017-03-17,56.77999877929688,56.79999923706055,56.060001373291016,56.470001220703125,733600,0,0,-0.00212049711187845,1.0001771543817333,,,,,,,,60.5
2017-03-20,57.0,57.119998931884766,56.02000045776367,56.43999862670898,484600,0,0,-0.0005313014582183362,0.9996457588011336,,,,,,,,59.970001220703125
2017-03-21,56.7400016784668,56.95000076293945,54.77999877929688,54.869998931884766,526100,0,0,-0.0278171462265282,0.9718384665538338,,,,,,,,60.45000076293945
2017-03-22,54.86000061035156,55.38999938964844,54.13999938964844,55.27999877929688,660700,0,0,0.007472204399367355,0.9791002422190918,,,,,,,,60.25
2017-03-23,55.22999954223633,55.22999954223633,53.70000076293945,54.09000015258789,679200,0,0,-0.021526748425954367,0.9580233976210504,,,,55.40999984741211,,,,60.7599983215332
2017-03-24,54.5,55.290000915527344,54.209999084472656,54.93999862670898,388300,0,0,0.015714521570035833,0.9730782769675654,,,,55.40999984741211,,,,60.52000045776367
2017-03-27,54.41999816894531,56.060001373291016,53.72999954223633,55.869998931884766,469700,0,0,0.01692756331310985,0.9895501211095458,,,,55.40999984741211,,,,63.29999923706055
2017-03-28,56.18999862670898,56.775001525878906,55.75,56.47999954223633,463700,0,0,0.010918214104411517,1.0003542411988662,,,,55.40999984741211,,,,63.58000183105469
2017-03-29,56.650001525878906,57.27000045776367,56.47999954223633,56.970001220703125,347600,0,0,0.00867566718197943,1.009032981659589,,,,55.48500061035156,,,,64.72000122070312
2017-03-30,56.84000015258789,57.459999084472656,56.45000076293945,57.18999862670898,431000,0,0,0.003861635971422528,1.0129294997179175,,,,55.579999923706055,,,,65.12000274658203
2017-03-31,57.06999969482422,57.720001220703125,56.84000015258789,57.5099983215332,517800,0,0,0.005595378606545021,1.0185972237705774,,,,55.71000099182129,,,,64.47000122070312
2017-04-03,57.7599983215332,58.34999847412109,57.34999847412109,57.790000915527344,452600,0,0,0.004868763730937253,1.0235565329901049,,,,56.02499961853027,,,,64.44999694824219
2017-04-04,57.65999984741211,58.209999084472656,57.43999862670898,58.02000045776367,512800,0,0,0.003979919338857885,1.0276302054301665,,,,56.02499961853027,,,,64.08000183105469
2017-04-05,58.119998931884766,58.810001373291016,57.09000015258789,57.2400016784668,680200,0,0,-0.01344361897867763,1.013815136497383,,,,56.27000045776367,,,,65.01000213623047
2017-04-06,57.36000061035156,58.02999877929688,57.11000061035156,57.900001525878906,537700,0,0,0.011530395318985365,1.025504825801569,,,,56.27000045776367,,,,65.41000366210938
2017-04-07,57.93000030517578,58.5,57.709999084472656,57.84999847412109,524400,0,0,-0.0008636105430060992,1.0246191890221032,,,,57.28000068664551,,,,65.56999969482422
2017-04-10,57.91999816894531,58.15999984741211,57.2400016784668,57.400001525878906,352600,0,0,-0.007778685568046839,1.0166489985237133,,,,57.630001068115234,,,,63.20000076293945
2017-04-11,57.400001525878906,58.310001373291016,57.400001525878906,57.959999084472656,336900,0,0,0.009756054768417899,1.0265674818335677,,,,57.630001068115234,,,,64.22000122070312
2017-04-12,57.959999084472656,58.34999847412109,57.59000015258789,57.869998931884766,325900,0,0,-0.0015527976882250272,1.0249734302209697,,,,57.82500076293945,,,,64.88999938964844
2017-04-13,57.79999923706055,58.8650016784668,57.66999816894531,57.7400016784668,286900,0,0,-0.0022463669572723166,1.0226709637752391,,,,57.977500915527344,,,,65.0
2017-04-17,57.84999847412109,58.380001068115234,57.709999084472656,58.33000183105469,277200,0,0,0.010218221950761164,1.0331208426656933,,,,57.977500915527344,,,,64.5999984741211
2017-04-18,58.04999923706055,59.09999847412109,58.0099983215332,59.040000915527344,305600,0,0,0.012172108043628782,1.045696101184745,,,,58.09499931335449,56.39999961853027,,,65.08999633789062
2017-04-19,59.27000045776367,60.108001708984375,59.0,59.43999862670898,514400,0,0,0.006775028878369005,1.0527807224682695,,,,58.60900115966797,56.904001235961914,,,65.91000366210938
2017-04-20,59.81999969482422,59.900001525878906,58.900001525878906,59.4900016784668,682700,0,0,0.0008412357488740696,1.0536663592477353,,,,58.674001693725586,56.904001235961914,,,65.95999908447266
2017-04-21,59.459999084472656,59.56399917602539,58.91999816894531,59.27999877929688,650900,0,0,-0.0035300536770017654,1.0499468604419397,,,,58.674001693725586,56.904001235961914,,,66.08000183105469
2017-04-24,60.47999954223633,60.47999954223633,59.88999938964844,60.02000045776367,535000,0,0,0.012483159475455752,1.0630535145415905,57.23000005086263,60.070823362593174,54.38917673913208,58.94000053405762,57.09000015258789,,,65.44000244140625
2017-04-25,60.34000015258789,61.20000076293945,60.28499984741211,60.5,566600,0,0,0.007997326534079363,1.0715551006205803,57.36466674804687,60.4201770465188,54.30915644957494,59.39500045776367,57.45000076293945,,,67.11000061035156
2017-04-26,60.77000045776367,60.93999862670898,59.91999816894531,59.970001220703125,415100,0,0,-0.00876031040160119,1.062167945326725,57.49500007629395,60.648144990515746,54.34185516207215,59.43499946594238,57.45000076293945,,,67.87000274658203
2017-04-27,60.18000030517578,60.59000015258789,59.900001525878906,60.45000076293945,348200,0,0,0.008003994204866194,1.0706695314057146,57.63300005594889,60.92501277361858,54.3409873382792,59.454999923706055,57.45000076293945,,,68.31999969482422
2017-04-28,60.5,60.75,59.84999847412109,60.25,471400,0,0,-0.0033085320167948185,1.067127186981652,57.75500005086263,61.15225338244847,54.35774671927678,59.60499954223633,57.45000076293945,,,68.1500015258789
2017-05-01,60.59000015258789,60.93000030517578,59.880001068115234,60.7599983215332,518200,0,0,0.008464702432086302,1.076160101076641,57.897999954223636,61.424687578152536,54.371312330294735,60.05000114440918,57.46500015258789,,,68.63999938964844
2017-05-02,60.95000076293945,61.04999923706055,60.060001373291016,60.52000045776367,806500,0,0,-0.0039499320342225586,1.0719093418194463,58.03400001525879,61.63859874489978,54.4294012856178,60.05000114440918,57.46500015258789,,,69.01000213623047
2017-05-03,63.11000061035156,63.5,60.83000183105469,63.29999923706055,1879600,0,0,0.045935207506103914,1.121147719863654,58.31500002543132,62.191424286121496,54.43857576474114,61.209999084472656,59.625,,,65.55999755859375
2017-05-04,63.560001373291016,64.66999816894531,63.5,63.58000183105469,1221200,0,0,0.004423421759383039,1.1261070290831814,58.591666793823244,62.7358605059276,54.44747308171889,62.2599983215332,60.55999946594238,,,66.56999969482422
2017-05-05,63.68999862670898,64.94999694824219,63.68999862670898,64.72000122070312,835600,0,0,0.01793015660297792,1.146298304466357,58.94600016276042,63.30099421353773,54.59100611198311,62.39999771118164,60.69999885559082,,,67.5
2017-05-08,64.72000122070312,65.30000305175781,64.41000366210938,65.12000274658203,743900,0,0,0.006180493175747204,1.153382993314482,59.28533363342285,63.914803874050094,54.65586339279561,62.57500076293945,61.07000160217285,,,66.58000183105469
2017-05-09,65.19000244140625,65.38999938964844,64.45999908447266,64.47000122070312,651600,0,0,-0.009981595492377648,1.141870390827429,59.572000376383464,64.38044061305195,54.763560139714976,62.619998931884766,61.239999771118164,,,68.04000091552734
2017-05-10,64.4000015258789,65.27999877929688,64.4000015258789,64.44999694824219,850900,0,0,-0.00031028807324595675,1.1415160820639625,59.83766695658366,64.8102142454688,54.865119667698515,62.619998931884766,61.239999771118164,,,69.36000061035156
2017-05-11,64.27999877929688,64.44999694824219,63.73099899291992,64.08000183105469,541700,0,0,-0.005740808917099383,1.1349628563610374,60.07466697692871,65.15381505846544,54.99551889539199,62.635000228881836,61.239999771118164,,,70.83999633789062
2017-05-12,64.3499984741211,65.07499694824219,64.12999725341797,65.01000213623047,777400,0,0,0.014513112961945573,1.1514347005030177,60.335333760579424,65.59385258038179,55.07681494077705,62.72500038146973,61.25,,,70.3499984741211
2017-05-15,65.29000091552734,65.72000122070312,64.94999694824219,65.41000366210938,671100,0,0,0.006152922823178697,1.1585193893511425,60.598667271931966,66.0512245771038,55.14610996676013,63.275001525878906,61.48000144958496,,,71.58000183105469
2017-05-16,65.76000213623047,65.76200103759766,64.77999877929688,65.56999969482422,659700,0,0,0.002446048368095921,1.1613531838128723,60.85800056457519,66.48756288254492,55.22843824660547,64.63100051879883,61.50100135803223,,,71.79000091552734
2017-05-17,64.80000305175781,64.9000015258789,62.869998931884766,63.20000076293945,853000,0,0,-0.03614456219178297,1.1193765814339227,61.030667241414385,66.6193289817579,55.44200550107086,64.31599998474121,61.58100128173828,,,73.02999877929688
2017-05-18,62.77000045776367,64.5999984741211,62.209999084472656,64.22000122070312,709000,0,0,0.01613924755459495,1.137442477188501,61.26333389282227,66.7825727436172,55.74409504202734,63.986000061035156,61.67600059509277,,,71.7699966430664
2017-05-19,64.70999908447266,65.19999694824219,64.29000091552734,64.88999938964844,673200,0,0,0.010432858240577492,1.14930925330982,61.496333821614584,67.01811657321281,55.97455107001637,63.986000061035156,61.715999603271484,,,69.41000366210938
2017-05-22,65.06999969482422,65.38999938964844,64.63999938964844,65.0,524100,0,0,0.0016951858743445847,1.1512575461212842,61.734667205810545,67.22367594401194,56.24565846760915,63.986000061035156,61.736000061035156,,,69.72000122070312
2017-05-23,65.36000061035156,65.63999938964844,64.33000183105469,64.5999984741211,421000,0,0,-0.006153869628906294,1.1441728572731593,61.974667104085285,67.31310270220165,56.63623150596892,63.986000061035156,61.88599967956543,,,67.54000091552734
2017-05-24,64.83999633789062,65.19000244140625,64.58000183105469,65.08999633789062,390100,0,0,0.007585106429465638,1.152851530169282,62.21233367919922,67.44922104204804,56.97544631635041,63.986000061035156,62.33100128173828,57.24749946594238,,68.41000366210938
2017-05-25,65.4800033569336,66.87999725341797,65.18000030517578,65.91000366210938,521500,0,0,0.012598054545309711,1.1673752166289986,62.48033383687337,67.62357741106135,57.33709026268539,64.54499816894531,62.88999938964844,57.75650119781494,,65.98999786376953
2017-05-26,65.77999877929688,66.37000274658203,65.56999969482422,65.95999908447266,314000,0,0,0.0007585407310790604,1.168260718279264,62.7543337504069,67.73247237019662,57.77619513061718,64.54499816894531,62.89999771118164,57.78900146484375,,66.72000122070312
2017-05-30,66.0,66.64700317382812,65.69000244140625,66.08000183105469,321000,0,0,0.0018193260801648847,1.1703861654724614,63.01266708374023,67.84885608211715,58.176478085363314,64.54499816894531,63.36499786376953,57.78900146484375,,66.41999816894531
2017-05-31,66.18000030517578,66.40499877929688,64.9219970703125,65.44000244140625,463400,0,0,-0.009685220519283777,1.1590507173671416,63.226000467936196,67.90550105480374,58.546499881068655,64.54499816894531,63.36499786376953,58.015000343322754,,67.63999938964844
2017-06-01,65.66000366210938,67.11000061035156,65.04000091552734,67.11000061035156,531400,0,0,0.025519530969464688,1.1886291480441726,63.48166720072428,68.14401947680362,58.819314924644935,65.70000076293945,63.47999954223633,58.42250061035156,,67.08999633789062
2017-06-02,67.2699966430664,68.12000274658203,66.47000122070312,67.87000274658203,493500,0,0,0.011324722534918896,1.20209004334269,63.761000569661455,68.43730070991627,59.08470042940664,66.22500228881836,63.98500061035156,58.44250011444092,,68.2300033569336
2017-06-05,67.87000274658203,68.48999786376953,67.62000274658203,68.31999969482422,397500,0,0,0.006630277442634336,1.2100602338410804,64.06233393351236,68.70994985313932,59.41471801388541,66.40999984741211,64.16999816894531,58.452500343322754,,69.80000305175781
2017-06-06,68.18000030517578,68.95999908447266,67.9800033569336,68.1500015258789,583600,0,0,-0.0024882636080894027,1.2070492849976175,64.33333396911621,68.95472961033825,59.711938327894174,66.77000045776367,64.42000007629395,58.52750015258789,,68.4800033569336
2017-06-07,68.30000305175781,68.93699645996094,68.01000213623047,68.63999938964844,430200,0,0,0.007189990503279287,1.2157279578937406,64.60466728210449,69.24956897317031,59.95976559103866,66.94099807739258,64.51000022888184,58.757500648498535,,68.73999786376953
2017-06-08,68.68000030517578,69.18000030517578,68.0199966430664,69.01000213623047,425400,0,0,0.005390482952682518,1.2222813187258663,64.9060006459554,69.4819847489515,60.33001654295931,67.05099868774414,65.00500106811523,58.757500648498535,,69.0
2017-06-09,69.18000030517578,69.6500015258789,64.13999938964844,65.55999755859375,1124000,0,0,-0.04999281945863698,1.1611760294311393,65.0763338724772,69.34841680990365,60.80425093505077,66.89500045776367,65.93000030517578,60.41749954223633,,69.37000274658203
2017-06-12,64.98999786376953,66.56999969482422,62.165000915527344,66.56999969482422,1049300,0,0,0.015405768362449779,1.1790648383685847,65.28700052897135,69.19650168212442,61.377499375818275,65.90750122070312,65.90750122070312,61.40999889373779,,69.58999633789062
2017-06-13,67.4800033569336,67.77999877929688,66.01000213623047,67.5,518500,0,0,0.013970261520792615,1.1955366825105649,65.51166725158691,69.11965435817163,61.90368014500219,65.90750122070312,65.90750122070312,61.54999828338623,,70.05000305175781
2017-06-14,67.83000183105469,68.26899719238281,65.66799926757812,66.58000183105469,427000,0,0,-0.013629602502893468,1.179241992750318,65.71366729736329,68.82909833006251,62.598236264664074,65.90750122070312,65.90750122070312,61.82250118255615,,69.63999938964844
2017-06-15,65.5199966430664,68.06999969482422,64.80000305175781,68.04000091552734,644200,0,0,0.02192849270532271,1.2051009921861535,65.87166735331218,68.96227639086177,62.78105831576258,65.90750122070312,65.90750122070312,61.929999351501465,,71.69999694824219
2017-06-16,67.76000213623047,69.73999786376953,67.66999816894531,69.36000061035156,1214500,0,0,0.019400347987399646,1.2284803707945255,66.06433397928873,69.27690276653408,62.85176519204339,65.95249938964844,65.95249938964844,61.929999351501465,,70.9800033569336
2017-06-19,70.05999755859375,71.07499694824219,69.37999725341797,70.83999633789062,982000,0,0,0.02133788515737378,1.2546935438646272,66.26833381652833,69.86514140935743,62.67152622369922,66.61999893188477,66.61999893188477,61.9375,,70.7699966430664
2017-06-20,70.83999633789062,72.80000305175781,70.08000183105469,70.3499984741211,959500,0,0,-0.006916966249297274,1.2460148709685044,66.44266700744629,70.29604134482166,62.589292670070925,67.48250198364258,67.48250198364258,61.98750019073486,,69.26000213623047
2017-06-21,70.80999755859375,71.94000244140625,70.80000305175781,71.58000183105469,567500,0,0,0.017484056625616917,1.2678002655288785,66.67966702779134,70.87560933007332,62.483724725509354,67.48250198364258,67.48250198364258,62.377501487731934,,70.45999908447266
2017-06-22,71.7300033569336,72.1500015258789,71.1500015258789,71.79000091552734,568300,0,0,0.0029337675202678604,1.2715196967700741,66.92433382670085,71.4153216488665,62.43334600453519,67.48250198364258,67.48250198364258,63.06600093841553,,70.08999633789062
2017-06-23,71.8499984741211,73.61000061035156,71.59300231933594,73.02999877929688,1073200,0,0,0.01727257066382526,1.293482110582981,67.22266705830891,72.0890717600966,62.35626235652123,69.20500183105469,67.88750076293945,62.948500633239746,,71.19000244140625
2017-06-26,73.55999755859375,73.5999984741211,71.31099700927734,71.7699966430664,602900,0,0,-0.017253213162967573,1.2711653880066076,67.44800020853678,72.50475597673189,62.39124444034169,69.20500183105469,67.88750076293945,62.831000328063965,,68.11000061035156
2017-06-27,71.5999984741211,71.94999694824219,69.37000274658203,69.41000366210938,614100,0,0,-0.032882723858745355,1.2293660075739914,67.58133354187012,72.62711017967763,62.53555690406261,69.20500183105469,67.88750076293945,62.85099983215332,,69.38999938964844
2017-06-28,69.62000274658203,70.16999816894531,68.54000091552734,69.72000122070312,712700,0,0,0.0044661798334262315,1.234856577244918,67.71966692606608,72.76484431781421,62.67448953431796,70.63999938964844,67.88750076293945,62.861000061035156,,69.4800033569336
2017-06-29,69.37000274658203,69.5199966430664,66.69000244140625,67.54000091552734,794000,0,0,-0.03126793268799366,1.1962451649082977,67.86433359781901,72.62552312531844,63.10314407031959,70.1500015258789,67.88750076293945,62.93599987030029,,69.98999786376953
