Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,daily_return,cum_return,middle_band,upper_band,lower_band,Conversion,Baseline,SpanA,SpanB,Lagging
2017-03-13,22.699376787969044,22.984783139349695,22.57569937168659,22.66132164001465,213200,0.0,0,,,,,,,,,,21.695480346679688
2017-03-14,22.375914143524447,22.59472578935633,22.119047351685676,22.461536407470703,181100,0.0,0,-0.008816133309328733,0.9911838666906713,,,,,,,,21.81945037841797
2017-03-15,22.67083508087368,23.00381036211359,22.556671453322828,22.918188095092773,126000,0.0,0,0.020330385212214974,1.0113350165166253,,,,,,,,21.56196975708008
2017-03-16,22.96576024736097,23.06089632207285,22.69938141565133,22.80402946472168,123300,0.0,0,-0.004981136811401665,1.006297418437195,,,,,,,,21.96249771118164
2017-03-17,22.74694537496336,22.984784621305156,22.43299764237497,22.585214614868164,286000,0.0,0,-0.009595446725414347,0.9966415451686588,,,,,,,,22.229522705078125
2017-03-20,22.566187925735687,22.57570171371125,22.242726392844432,22.413970947265625,146200,0.0,0,-0.007582113808642155,0.989084895546769,,,,,,,,22.429784774780277
2017-03-21,22.55667645702825,22.55667645702825,21.376993845306053,21.81461906433105,216900,0.0,0,-0.026740102605856686,0.9626366639539454,,,,,,,,22.401180267333984
2017-03-22,21.83364259422796,22.22369879616673,20.9108251970714,21.46261215209961,224000,0.0,0,-0.01613628508448295,0.947103284311609,,,,,,,,21.90528106689453
2017-03-23,21.52920738309471,21.93829116958345,21.338937078274668,21.87169647216797,292000,0.0,0,0.019060323001193424,0.9651553788260794,,,,21.985860759572127,,,,21.94342994689941
2017-03-24,21.94780502476952,22.24272517762121,21.77656047970421,21.88121032714844,206800,0.0,0,0.0004349847755329428,0.9655752067218925,,,,21.985860759572127,,,,21.90528106689453
2017-03-27,21.567262048151147,22.18564370041678,21.453098416169023,22.10953521728516,236800,0.0,0,0.010434746831779806,0.9756507395510788,,,,21.985860759572127,,,,21.47613906860352
2017-03-28,21.985863436463,22.394947284907268,21.25331802481021,21.78607749938965,236100,0.0,0,-0.014629783698149934,0.9613771802665065,,,,21.985860759572127,,,,21.33309555053711
2017-03-29,21.82899155171927,22.057866742450912,21.75269982147539,21.98157501220703,187200,0.055,0,0.008973506718814361,0.9700041048529429,,,,21.947804909188278,,,,21.32355308532715
2017-03-30,22.02925608756027,22.25813125343079,21.82898918058724,21.85759925842285,211200,0.0,0,-0.005639985019969318,0.9645332962322635,,,,21.743263455391325,,,,21.40938377380371
2017-03-31,21.79084537347101,22.610980972843684,21.79084537347101,22.143693923950195,337700,0.0,0,0.013089025109521035,0.9771580967656167,,,,21.76090308495754,,,,22.725418090820312
2017-04-03,22.134152695221108,22.277201243660777,21.523819012579832,21.96249771118164,374200,0.0,0,-0.00818274554330689,0.9691622607042016,,,,21.76090308495754,,,,22.363035202026367
2017-04-04,21.91481557968651,22.219982439448174,21.70501381833486,21.838523864746094,181600,0.0,0,-0.005644797238723354,0.9636915362511037,,,,21.932149498826945,,,,22.639589309692383
2017-04-05,21.943427622218717,22.343959616299895,21.685942379108354,21.84806251525879,322300,0.0,0,0.00043678091851684364,0.9641124583254743,,,,21.932149498826945,,,,22.563295364379883
2017-04-06,21.8385238303372,22.36303096129686,21.8385238303372,22.26766586303711,213500,0.0,0,0.019205517536635908,0.9826287370511334,,,,21.932149498826945,,,,23.259456634521484
2017-04-07,22.258127184215088,23.164092808395395,21.380771632639924,23.125946044921875,321300,0.0,0,0.038543787533180884,1.0205029703160302,,,,22.208705416602804,,,,23.13548469543457
2017-04-10,23.164091753643028,23.412038429179724,22.649121383825936,22.88753318786621,311500,0.0,0,-0.010309323415031324,1.0099822751490422,,,,22.396405030909825,,,,22.124622344970703
2017-04-11,22.74448886382958,22.98290069297048,22.391638556368367,22.563295364379883,259600,0.0,0,-0.014166569233342363,0.9956742913236946,,,,22.396405030909825,,,,21.76223564147949
2017-04-12,22.467931403990285,22.467931403990285,21.714550931692823,21.93388938903809,217400,0.0,0,-0.02789512636241165,0.9678998311514154,,,,22.396405030909825,,,,21.838523864746094
2017-04-13,21.933888859758103,22.124619055679005,21.7431586638372,21.81945037841797,146000,0.0,0,-0.005217451797550954,0.9628498604375252,,,,22.396405030909825,,,,21.48567771911621
2017-04-17,21.84806049048855,22.0006439199085,21.533356939942657,21.80991554260254,113500,0.0,0,-0.0004369879007062316,0.9624291066983173,,,,22.396405030909825,,,,22.00064468383789
2017-04-18,21.647798699866676,21.895745446020225,21.39985013477489,21.695480346679688,157500,0.0,0,-0.005246934390888303,0.95737930431959,,,,22.396405030909825,22.16143181312556,,,22.115083694458008
2017-04-19,21.733627119280683,22.029257331185484,21.638262006716424,21.695480346679688,209100,0.0,0,0.0,0.95737930431959,,,,22.396405030909825,22.16143181312556,,,21.95296287536621
2017-04-20,21.828987070107807,22.30581074097212,21.657330257566585,21.81945037841797,293100,0.0,0,0.005714094814095905,0.9628498604375253,,,,22.396405030909825,22.16143181312556,,,22.162765502929688
2017-04-21,21.828989883052763,21.828989883052763,21.39984961533744,21.56196975708008,225700,0.0,0,-0.011800509035395645,0.9514877419597029,,,,22.40594402225858,22.16143181312556,,,22.30581283569336
2017-04-24,22.010179348036296,22.096007749524954,21.74315745241181,21.96249771118164,113800,0.0,0,0.018575666259342594,0.9691622607042018,22.11815128326416,22.98459121073165,21.251711355796672,22.19137515415396,22.16143181312556,,,22.124622344970703
2017-04-25,22.096012637202143,22.420252932562317,21.96250256932617,22.229522705078125,128800,0.0,0,0.012158225235034958,0.980945553759139,22.103757985432942,22.947828533128142,21.259687437737742,21.93389050966386,22.16143181312556,,,23.39297103881836
2017-04-26,22.200909642662666,22.553758122575616,22.200909642662666,22.429784774780277,194100,0.0,0,0.009008833539030592,0.9897827289638074,22.102699597676594,22.945062037862996,21.26033715749019,21.97680386895653,22.16143181312556,,,23.59323501586914
2017-04-27,22.553763726659152,22.668202230622185,22.21045185264668,22.401180267333984,91900,0.0,0,-0.001275291213603369,0.9885204677461834,22.08546600341797,22.880513951939342,21.290418054896598,22.034025922979815,22.16143181312556,,,23.106874465942383
2017-04-28,22.401178172803657,22.60144508127925,21.800381085253168,21.90528106689453,188100,0.0,0,-0.02213719074269438,0.9666374015986287,22.055507723490397,22.80679806688636,21.304217380094435,22.034025922979815,22.332678226994965,,,22.93521881103516
2017-05-01,22.067403325824333,22.067403325824333,21.6096529466485,21.94342994689941,103000,0.0,0,0.0017415380285867865,0.9683208373933669,22.034114901224772,22.760140416724226,21.308089385725317,22.034025922979815,22.332678226994965,,,22.59190368652344
2017-05-02,21.87667280778241,22.07693789731985,21.781307699886323,21.90528106689453,144000,0.0,0,-0.0017385103467049134,0.9666374015986287,22.01715857187907,22.730639579632648,21.30367756412549,22.034025922979815,22.332678226994965,,,22.9066104888916
2017-05-03,21.74315916633828,21.92435267475686,21.41891891714207,21.47613906860352,151400,0.0,0,-0.01959080082015363,0.9477002007985991,22.005875905354817,22.742007024538637,21.269744786170996,22.034025922979815,22.332678226994965,,,23.59323501586914
2017-05-04,21.53336065409148,21.628725768662346,21.0374635134736,21.33309555053711,107800,0.0,0,-0.006660578868923794,0.9413879688670851,22.001558685302733,22.751677701394126,21.25143966921134,21.85283287204789,22.224750971326664,,,23.3738956451416
2017-05-05,21.39984479254555,21.39984479254555,21.00884956568403,21.32355308532715,125800,0.0,0,-0.0004473080424430842,0.9409668784575517,21.983287239074706,22.770696090785744,21.195878387363667,21.838525898153108,22.210443997431877,,,23.51694679260254
2017-05-08,21.31401867484361,21.43799203023516,20.81812161540144,21.40938377380371,181300,0.0,0,0.004025158852894117,0.9447544196186553,21.96755968729655,22.78075097458556,21.15436840000754,21.74316192301181,22.115080022290584,,,23.440654754638672
2017-05-09,21.609650529544695,22.83031988974973,21.609650529544695,22.725418090820312,431000,0.0,0,0.06146997647951391,1.0028284515715309,21.98808911641439,22.84425408330978,21.131924149518998,21.824220752575584,22.115080022290584,,,23.43111801147461
2017-05-10,22.763567235520338,22.935222262213493,22.34396181496992,22.363035202026367,220400,0.0,0,-0.015946148376488,0.9868372002866076,22.007321039835613,22.87031917472864,21.144322904942587,21.87667193880747,22.115080022290584,,,23.47879981994629
2017-05-11,22.315349044568737,22.74449110692005,21.70501528383627,22.639589309692383,234900,0.0,0,0.012366573015140547,0.9990409945780088,22.02925484975179,22.921287524487294,21.137222175016287,21.87667193880747,22.115080022290584,,,23.51694679260254
2017-05-12,22.50607703468868,22.687270534138374,22.26766520554778,22.563295364379883,199600,0.0,0,-0.0033699350402897066,0.9956742913236944,22.052778053283692,22.962393382088926,21.143162724478458,21.87667193880747,22.115080022290584,,,23.469261169433597
2017-05-15,22.64912295587589,23.402505182024655,22.64912295587589,23.259456634521484,246100,0.0,0,0.03085370549377342,1.0263945326759172,22.08997014363607,23.096793102937937,21.0831471843342,22.110313398713046,22.115080022290584,,,22.73495101928711
2017-05-16,23.20223971822978,23.240386484934444,22.811244454196736,23.13548469543457,118700,0.0,0,-0.005329958521168354,1.0209238923904005,22.12906970977783,23.201574445597338,21.056564973958324,22.110313398713046,22.115080022290584,,,23.049657821655277
2017-05-17,22.792174492063666,22.897076297309827,22.115085651863037,22.124622344970703,215100,0.0,0,-0.04369315636872506,0.9763165051196193,22.138606325785318,23.20571690150057,21.071495750070067,22.110313398713046,22.110313398713046,,,23.326215744018555
2017-05-18,22.13415758412033,22.13415758412033,21.61918888038211,21.76223564147949,162200,0.0,0,-0.01637933962626892,0.9603250854995331,22.135745429992674,23.206387699810982,21.065103160174367,22.110313398713046,22.110313398713046,,,23.50741004943848
2017-05-19,21.8194504812765,22.14369072450776,21.78130553327528,21.838523864746094,109400,0.0,0,0.0035055324518771247,0.9636915362511034,22.12144069671631,23.196084224910873,21.046797168521746,22.506077855784675,22.110313398713046,,,23.55509185791016
2017-05-22,21.89574459500968,21.95296475168723,21.41892086965907,21.48567771911621,130900,0.0,0,-0.016157051081620133,0.9481211228729693,22.06676508585612,23.09771439862952,21.035815773082717,22.41071302584186,22.110313398713046,,,24.23847198486328
2017-05-23,21.60011271296834,22.14369142651887,21.47613935436163,22.00064468383789,197100,0.0,0,0.02396791813848642,0.9708456123313585,22.03720213572184,23.022455066877846,21.051949204565837,22.41071302584186,22.110313398713046,,,23.655447006225582
2017-05-24,22.029255283023858,22.296275390651815,21.733625098605163,22.115083694458008,158300,0.0,0,0.005201620782693928,0.9758955830452485,22.022261746724446,22.988685972591586,21.055837520857306,22.41071302584186,22.110313398713046,22.278918422017693,,23.837045669555664
2017-05-25,22.181838025699957,22.29627469139782,21.762232673952425,21.95296287536621,104900,0.0,0,-0.007330780264350745,0.9687415069649933,22.02289752960205,22.98911479229318,21.056680266910924,22.41071302584186,22.110313398713046,22.278918422017693,,24.03775787353516
2017-05-26,21.924353651367703,22.50607915123913,21.714551876810862,22.162765502929688,257000,0.0,0,0.009556916246549196,0.9779996884116136,22.034341367085776,22.99879139537268,21.06989133879887,22.329653677296754,22.110313398713046,22.278918422017693,,23.674564361572266
2017-05-30,22.181839469959097,22.544224693514582,22.02925602646857,22.30581283569336,149000,0.0,0,0.006454399057047366,0.9843120886782901,22.050871276855467,23.016359995697584,21.08538255801335,22.15799858348445,22.110313398713046,22.28368791769207,,23.29224967956543
2017-05-31,22.305814057201783,22.305814057201783,21.895745348263045,22.124622344970703,144700,0.0,0,-0.00812301672471305,0.9763165051196191,22.065176010131836,23.02191244660204,21.10843957366163,21.981572781586827,22.110313398713046,22.17640348363976,,23.655447006225582
2017-06-01,22.258130139912744,23.402507730953136,22.124620087901977,23.39297103881836,210400,0.0,0,0.057327473168642396,1.0322862633709669,22.121759033203126,23.17914445643723,21.064373609969024,22.410714300306104,22.11031467317729,22.04766116139471,,23.540754318237305
2017-06-02,23.45972497008855,23.936548640948324,23.31667823261821,23.59323501586914,249900,0.0,0,0.008560861154338406,1.0411235227432165,22.18088518778483,23.35514745812608,21.006622917443583,22.677734755303696,22.377335128174884,22.069117841041045,,23.76058578491211
2017-06-05,23.50740641897414,23.640918282610016,23.06872951843066,23.106874465942383,217700,0.0,0,-0.020614407036577465,1.0196613786700324,22.232382011413574,23.428708141856227,21.03605588097092,22.706343997654976,22.377335128174884,22.097728868052688,,24.12377548217773
2017-06-06,22.992438963594307,23.288069142731125,22.677735400271104,22.93521881103516,166400,0.0,0,-0.007428769960222459,1.0120865488505695,22.264806048075357,23.482511451187108,21.047100644963606,22.825550258879595,22.377335128174884,22.18335207498739,,24.06151390075684
2017-06-07,22.9066072038243,22.916143894522843,22.54422023303072,22.59190368652344,128000,0.0,0,-0.014968905565729052,0.9969367208764807,22.276885414123534,23.500092228077126,21.053678600169942,22.825550258879595,22.377335128174884,22.18335207498739,,23.84120750427246
2017-06-08,22.658661951984147,23.154559025799056,22.601443618524897,22.9066104888916,191800,0.0,0,0.013930070114272386,1.010824119297783,22.292779604593914,23.535625180639112,21.049934028548716,22.825550258879595,22.377335128174884,22.18335207498739,,23.822052001953125
2017-06-09,22.98290129922877,23.61230839924864,22.944754532469773,23.59323501586914,283500,0.0,0,0.029974950999865912,1.0411235227432165,22.332514762878418,23.659490031984262,21.005539493772574,22.916146994605683,22.377335128174884,22.18335207498739,,23.793312072753903
2017-06-12,23.736280820419303,23.841182605945587,23.20223883934873,23.3738956451416,124300,0.0,0,-0.009296706050696657,1.031444503389807,22.38146858215332,23.74924758149296,21.013689582813683,22.916146994605683,22.377335128174884,22.038791921687277,,24.01361846923828
2017-06-13,23.38343672700111,23.69814032373177,23.23085327518856,23.51694679260254,91000,0.0,0,0.006120124331549848,1.0377570719916462,22.433919143676757,23.849991983251083,21.01784630410243,23.030584364425152,22.377335128174884,22.024484947792494,,23.764572143554688
2017-06-14,23.574164818462723,23.574164818462723,23.068732823164133,23.440654754638672,114600,0.0,0,-0.0032441302281580597,1.0343904529049133,22.48509826660156,23.93150517724839,21.038691355954732,23.240384436989522,22.677734755303696,21.929120972651198,,23.65921211242676
2017-06-15,23.249924483145627,23.46926478330732,23.02104930896395,23.43111801147461,113100,0.0,0,-0.00040684627899212344,1.033969614998124,22.550264231363933,23.985156901142805,21.11537156158506,23.192701419488152,22.677734755303696,21.969650387433084,,23.65921211242676
2017-06-16,23.230851277339863,23.53601815472068,23.078267838649463,23.47879981994629,312000,0.0,0,0.002034977948910832,1.036073720364489,22.621787707010906,24.020553716783166,21.223021697238647,23.192701419488152,22.677734755303696,21.995875980549027,,24.10940933227539
2017-06-19,23.545556871919224,23.707677016837337,23.30714500109484,23.51694679260254,86400,0.0,0,0.0016247411685772484,1.0377570719916462,22.69490083058675,24.043302326575613,21.346499334597887,23.192701419488152,22.677734755303696,21.995875980549027,,23.975311279296875
2017-06-20,23.5264794994338,23.57416113794432,23.07826591304602,23.469261169433597,86300,0.0,0,-0.0020277131886841104,1.0356527982901185,22.76356341044108,24.0519621850853,21.475164635796858,23.221313112235244,22.677734755303696,21.995875980549027,,23.860366821289062
2017-06-21,23.50740479722258,23.53601487008605,22.64912261963452,22.73495101928711,114500,0.0,0,-0.031288166459319755,1.003249121143157,22.763881174723306,24.052247077114,21.47551527233261,23.245152612790054,22.677734755303696,22.112696710501815,,23.78373336791992
2017-06-22,22.782635893784555,23.297606364905644,22.515615784851903,23.049657821655277,92100,0.0,0,0.013842422712993185,1.0171365195644593,22.786768595377605,24.070255517267675,21.503281673487535,23.178399195398747,22.677734755303696,22.112696710501815,,23.86994361877441
2017-06-23,22.887538790294887,23.383435900629767,22.801710374316222,23.326215744018555,217900,0.0,0,0.011998352622113462,1.0293404821910228,22.809656143188477,24.10616541456091,21.513146871816044,23.11164640084462,22.677734755303696,22.110313398713046,,24.02320098876953
2017-06-26,23.354826597950847,23.72674853358466,23.3071449514628,23.50741004943848,92900,0.0,0,0.007767839730556725,1.0373362340848566,22.84112663269043,24.157733746288184,21.524519519092674,23.121182159218282,22.677734755303696,22.110313398713046,,23.898681640625
2017-06-27,23.50740839583812,23.80303858493237,23.373898339912607,23.55509185791016,141200,0.0,0,0.002028373537169781,1.0394403394512217,22.850981140136717,24.184177250060912,21.517785030212522,23.159327184892135,22.677734755303696,22.30819562724886,,23.83163070678711
2017-06-28,23.751026166152204,24.601665943492492,23.751026166152204,24.23847198486328,233400,0.055,0,0.029011991592961417,1.0695965738407656,22.887747383117677,24.307725427216067,21.467769339019288,23.558640864172197,23.038902648927063,22.260513212277452,,23.65921211242676
2017-06-29,24.36272075856113,24.36272075856113,23.32092516881081,23.655447006225582,88300,0.0,0,-0.02405370185883804,1.043868816744365,22.938774871826173,24.355432068155647,21.5221176754967,23.558640864172197,23.158108910151675,22.260513212277452,,23.86994361877441
2017-06-30,23.703235836401934,23.99952760603008,23.58854377712435,23.837045669555664,118600,0.0,0,0.007676822309985898,1.0518824121654469,23.00793520609538,24.390479068585545,21.625391343605212,23.558640864172197,23.158108910151675,22.260513212277452,22.115080022290584,24.7990665435791
2017-07-03,23.92306581335701,24.24802968885747,23.416504049077485,24.03775787353516,56800,0.0,0,0.008420179529036398,1.0607394509193158,23.081243006388345,24.44117107352581,21.72131493925088,23.558640864172197,23.158108910151675,22.260513212277452,22.115080022290584,24.84696388244629
2017-07-05,23.98997026745485,23.98997026745485,23.39738853546464,23.674564361572266,66700,0.0,0,-0.015109292383827522,1.0447124284123153,23.154205894470216,24.394221161697704,21.91419062724273,23.558640864172197,23.24870564587777,22.2199835380049,22.115080022290584,24.406347274780277
2017-07-06,23.435615639611765,23.70323161223237,22.75701408833005,23.29224967956543,140300,0.0,0,-0.016148752567012203,1.0278416259022023,23.197259394327798,24.361956325662774,22.03256246299282,23.679340015911272,23.24870564587777,22.134155991098748,22.115080022290584,25.02895736694336
2017-07-07,23.378271196568456,23.693678906728923,22.680555419358743,23.655447006225582,74400,0.0,0,0.015593054842563792,1.0438688167443653,23.248604838053385,24.35255995891023,22.14464971719654,23.641110681425616,23.363143015697233,22.045943090149937,22.115080022290584,25.79524803161621
2017-07-10,23.502524238797918,23.798814190693605,23.35915825065468,23.540754318237305,97900,0.0,0,-0.004848468429199171,1.0388076517421547,23.30153121948242,24.299788232977736,22.303274205987105,23.641110681425616,23.558640864172197,22.260514486741698,22.115080022290584,25.23968505859375
2017-07-11,23.531199823125853,23.894393806871363,23.21579389779505,23.76058578491211,111000,0.0,0,0.009338335709340395,1.0485083863315545,23.3547918955485,24.27205689292632,22.437526898170685,23.641110681425616,23.558640864172197,22.52753494173929,22.377335128174884,25.22053337097168
2017-07-12,23.85615766281384,24.48697122438568,23.72234966463052,24.12377548217773,155100,0.0,0,0.015285384819773595,1.064535240503392,23.415390650431316,24.28679867005237,22.543982630810262,23.583763321872212,23.558640864172197,22.54183956291493,22.377335128174884,25.29715919494629
2017-07-13,24.166877564488743,24.396764413056,23.697525020291646,24.06151390075684,117200,0.055,0,-0.0025809219401370376,1.0617877581451278,23.479953702290853,24.239812060337165,22.72009534424454,23.583763321872212,23.558640864172197,22.60144269352724,22.377335128174884,25.17263984680176
2017-07-14,24.013623122262107,24.25308885236361,23.745422673814684,23.84120750427246,80200,0.0,0,-0.009155965721568737,1.0520660658279697,23.49489491780599,24.264818983073948,22.724970852538032,23.583763321872212,23.558640864172197,22.60144269352724,22.377335128174884,24.91401672363281
2017-07-17,23.850786720742438,24.0519388871604,23.707107645860205,23.822052001953125,180400,0.0,0,-0.0008034619184411618,1.0512207708083927,23.502522150675457,24.28062830330465,22.724415998046265,23.583763321872212,23.558640864172197,22.60144269352724,22.377335128174884,25.07684898376465
2017-07-18,23.71668312191486,24.01362007804389,23.707104274687687,23.793312072753903,153300,0.0,0,-0.0012064422156775612,1.0499525336924924,23.52540340423584,24.296009439415965,22.754797369055712,23.583763321872212,23.558640864172197,22.646741061390284,22.377335128174884,25.335472106933597
2017-07-19,23.774152785537098,24.186034053819643,23.525108255250483,24.01361846923828,112700,0.0,0,0.009259173158017608,1.0596742260096506,23.561350059509277,24.319064857964733,22.80363526105382,23.583763321872212,23.558640864172197,22.646741061390284,22.377335128174884,25.28757667541504
2017-07-20,24.061510884334925,24.061510884334925,23.697522049500453,23.764572143554688,89500,0.0,0,-0.010371045330074935,1.0486842965765923,23.600439008076986,24.270537958976586,22.930340057177386,23.851382561090364,23.558640864172197,22.70395974630002,22.377335128174884,26.77227020263672
2017-07-21,24.023199175966077,24.023199175966077,23.5346889241524,23.65921211242676,196200,0.0,0,-0.004433491606391171,1.0440349635499657,23.62552572886149,24.24457244516992,23.00647901255306,23.851382561090364,23.558640864172197,22.95905959614661,22.377335128174884,26.973419189453125
2017-07-24,23.601739028463985,23.81247001570419,23.19943657561615,23.65921211242676,224900,0.0,0,0.0,1.0440349635499657,23.62772496541341,24.24676600918329,23.00868392164353,23.843203900000915,23.558640864172197,22.935218087395924,22.377335128174884,27.193723678588867
2017-07-25,23.80289349575036,24.51171182445912,23.80289349575036,24.10940933227539,208500,0.0,0,0.019028411331253325,1.0639012902806047,23.65224208831787,24.28708347351959,23.01740070311615,23.855574200037637,23.558640864172197,22.935218087395924,22.377335128174884,27.174570083618164
2017-07-26,24.214777026615938,24.214777026615938,23.793316799780364,23.975311279296875,118200,0.0,0,-0.005562062974267756,1.0579838043056593,23.667520904541014,24.31055848123245,23.024483327849577,23.855574200037637,23.558640864172197,22.935218087395924,22.377335128174884,27.40445709228516
2017-07-27,24.090253718558543,24.27224819734721,23.678372342500392,23.860366821289062,91600,0.0,0,-0.004794284281391947,1.0529115291827094,23.681511306762694,24.32246995613499,23.040552657390396,23.855574200037637,23.558640864172197,22.94952393376947,22.377335128174884,27.61518669128418
2017-07-28,23.841204624648714,24.157299277124544,23.58258305587999,23.78373336791992,92300,0.0,0,-0.0032117466568355457,1.0495298440989131,23.69326515197754,24.32836970648351,23.058160597471566,23.855574200037637,23.558640864172197,22.961443684046877,22.377335128174884,27.088363647460938
2017-07-31,23.908257184870305,24.118988192822457,23.68794915562805,23.86994361877441,118700,0.0,0,0.0036247568672618247,1.0533341346087068,23.706303278605144,24.339331183174963,23.073275374035326,23.855574200037637,23.641110681425616,22.92806697535122,22.377335128174884,26.96384048461914
2017-08-01,23.94657203134836,24.18603775166184,23.92741433524845,24.02320098876953,179300,0.0,0,0.006420516631408413,1.0600970839383923,23.723178418477378,24.362041411783927,23.08431542517083,23.855574200037637,23.641110681425616,22.894690578074158,22.377335128174884,26.820158004760746
2017-08-02,24.03278187071636,24.272247611295853,23.70710831736996,23.898681640625,133900,0.0,0,-0.005183295440218116,1.054602287557026,23.737492434183757,24.37221371169233,23.102771156675185,23.855574200037637,23.641110681425616,22.89945845726099,22.377335128174884,26.829734802246094
2017-08-03,23.97531161879605,24.176461972442667,23.62090150387465,23.83163070678711,86900,0.0,0,-0.0028056331661371336,1.051643460401972,23.77404842376709,24.289403830139776,23.258693017394407,23.855574200037637,23.641110681425616,22.918530970097915,22.377335128174884,26.91594886779785
2017-08-04,23.879520120015776,24.205193621224893,23.448481125186557,23.65921211242676,84100,0.0,0,-0.007234863467032615,1.044034963549966,23.79436690012614,24.23729517948845,23.35143862076383,23.980096474822837,23.596133621908933,23.29877175654963,22.709893779446965,27.327829360961918
2017-08-07,23.55384893382468,23.936993729676097,23.50595651946019,23.86994361877441,92200,0.0,0,0.008906953678181173,1.053334134608707,23.812491162618002,24.22066274053783,23.404319584698175,23.860364661266885,23.596133621908933,23.358374887161936,22.709893779446965,27.414037704467773
2017-08-08,24.904432032967,25.115161184764556,23.889098007792253,24.7990665435791,434900,0.0,0,0.038924387072029276,1.0943345201803973,23.855546379089354,24.380754687825974,23.330338070352735,24.281821154975557,23.89785830206165,23.358374887161936,22.709893779446965,27.308671951293945
2017-08-09,24.83738503430722,26.801003228355047,24.40634600294137,24.84696388244629,285100,0.0,0,0.0019314170064836933,1.096448136483456,23.898608779907228,24.52047766142127,23.276739898393185,25.124742176770802,24.740779323856895,23.358374887161936,22.709893779446965,27.203304290771484
2017-08-10,24.70328610162985,24.971486555586143,24.368033707205903,24.406347274780277,210900,0.0,0,-0.01773321721521459,1.0770045835139777,23.90420462290446,24.540950770129484,23.267458475679433,25.124742176770802,24.740779323856895,23.403673255024984,22.709893779446965,27.56729507446289
2017-08-11,24.588341299439385,25.364209755292944,24.396767984102897,25.02895736694336,416300,0.0,0,0.025510170987628422,1.1044791545938788,23.949988301595052,24.695977946797665,23.20399865639244,25.124742176770802,24.740779323856895,23.46402283089452,22.709893779446965,27.73012924194336
2017-08-14,25.182216363997124,26.01555605879451,24.904435247745678,25.79524803161621,358000,0.0,0,0.030616164047045702,1.1382940695774673,24.015261713663737,25.009713028993225,23.02081039833425,25.124742176770802,25.0002199019856,23.502126848561424,22.709893779446965,27.31825256347656
2017-08-15,25.862295511056868,26.207126702504013,24.291401109092394,25.23968505859375,241600,0.0,0,-0.02153741543176979,1.1137781573174574,24.05532595316569,25.142104017692933,22.968547888638444,25.124742176770802,25.0002199019856,23.599875772798907,22.709893779446965,27.38530158996582
