Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,daily_return,cum_return,middle_band,upper_band,lower_band,Conversion,Baseline,SpanA,SpanB,Lagging
2017-03-13,13.899999618530272,14.149999618530272,13.704999923706056,14.0,273000,0,0,,,,,,,,,,15.449999809265137
2017-03-14,13.899999618530272,13.925000190734863,13.5,13.699999809265137,320100,0,0,-0.021428585052490234,0.9785714149475098,,,,,,,,15.850000381469728
2017-03-15,13.75,14.324999809265137,13.75,14.050000190734863,517800,0,0,0.025547473455658443,1.0035714421953474,,,,,,,,15.850000381469728
2017-03-16,14.050000190734863,14.600000381469728,14.050000190734863,14.449999809265137,498300,0,0,0.028469723352320564,1.0321428435189384,,,,,,,,16.5
2017-03-17,14.399999618530272,14.5,13.899999618530272,14.0,458500,0,0,-0.03114185572352768,1.0,,,,,,,,16.399999618530273
2017-03-20,13.949999809265137,14.5,13.899999618530272,14.300000190734863,490000,0,0,0.021428585052490234,1.0214285850524902,,,,,,,,16.25
2017-03-21,14.300000190734863,14.524999618530272,13.699999809265137,13.800000190734863,708200,0,0,-0.034965034498667724,0.9857142993382045,,,,,,,,16.450000762939453
2017-03-22,13.75,14.050000190734863,13.600000381469728,13.899999618530272,287500,0,0,0.007246335247339086,0.9928571156093051,,,,,,,,16.149999618530273
2017-03-23,13.949999809265137,14.024999618530272,13.600000381469728,13.800000190734863,439100,0,0,-0.007194203635955354,0.9857142993382045,,,,14.050000190734863,,,,15.899999618530272
2017-03-24,13.850000381469728,14.149999618530272,13.5,13.699999809265137,519000,0,0,-0.007246404354172786,0.9785714149475098,,,,14.050000190734863,,,,16.0
2017-03-27,14.350000381469728,15.0,13.899999618530272,15.0,2179200,0,0,0.09489052619224769,1.0714285714285714,,,,14.25,,,,15.75
2017-03-28,15.0,15.75,14.800000190734863,15.300000190734863,1977600,0,0,0.020000012715657656,1.0928571564810616,,,,14.625,,,,15.699999809265137
2017-03-29,15.449999809265137,15.899999618530272,15.25,15.5,1092900,0,0,0.013071882795547163,1.107142857142857,,,,14.699999809265137,,,,15.949999809265137
2017-03-30,15.5,16.0,15.324999809265137,15.5,1195800,0,0,0.0,1.107142857142857,,,,14.75,,,,16.049999237060547
2017-03-31,15.550000190734863,15.949999809265137,15.399999618530272,15.600000381469728,646100,0,0,0.006451637514176101,1.1142857415335519,,,,14.75,,,,15.850000381469728
2017-04-03,15.75,15.899999618530272,15.350000381469728,15.649999618530272,1093400,0,0,0.0032050792203783818,1.117857115609305,,,,14.75,,,,17.600000381469727
2017-04-04,15.600000381469728,15.800000190734863,15.350000381469728,15.5,652000,0,0,-0.009584640395304933,1.107142857142857,,,,14.75,,,,17.799999237060547
2017-04-05,15.600000381469728,15.850000381469728,15.050000190734863,15.100000381469728,633500,0,0,-0.025806427001953014,1.078571455819266,,,,14.75,,,,17.649999618530273
